Problem,Class,Atributes,Relationship
"To modernize its operations and enhance user experience, a fitness studio seeks to implement a comprehensive class booking system. This system will efficiently manage class schedules, handle user registrations, track attendance, and process payments, thereby improving overall class management and customer service. The system should encompass various aspects, including the following requirements: Each class schedule has schedule number, date, time, details of the instructor, and references to fitness classes. Registration should be stored with registration number, timestamp, and references to the users. Each attendance is Attendance should track user check-in at class sessions, with attendance ID, timestamp, and attendance status. Each attendance record is kept for specific registration. Payments should record class fees for each registration, with payment number, timestamp, and payment amount. The system should support class scheduling, registration management, attendance tracking, and payment processing for efficient fitness class operations.","Schedule, Classes, Registration, Users, Attendance, Payments","Schedule [Number, Date, Time, Instructor], Registration [Number, Timestamp], Attendances [ID, Timestamp, Status], Payments [Number, Timestamp, Amount]","Schedule and Classes, Registration and Users, Attendance and Registration, Payment and Registration"
"A conference organizer requires a registration system to manage attendee registrations, process event payments, issue event tickets, and track attendance. The system should encompass various aspects, including registration, payments, ticket, and attendance tracking. Each registration should allow attendees to sign up for the conference, with registration number, date, name, email, address, and event options. Payments should process registration fees, with payment ID, date, purpose, and payment amount. Ticket should be issued to registered attendee, with ticket number, and event details. Attendance tracking should monitor check-ins at conference sessions, with attendance ID, timestamps, and session details. The system should facilitate attendee registration, payment processing, ticket issuance, and attendance tracking for successful conference management.","Registration, Payments, Tickets, Tracking","Registration [Number, Date, Name, Email, Address, Options], Payments [ID, Date, Purpose, Amount], Tickets [Number, Details], Tracking [ID, Timestamps, Details]","Registration and Payments, Registration and Tickets, Registration and Tracking"
"To enhance the management and care of livestock, a livestock farm requires a robust information management system. This system aims to streamline the management of livestock records, track animal health, and schedule vaccinations. By integrating these functionalities, the system will improve operational efficiency, ensure timely veterinary care, and support overall animal welfare. The system should incorporate the following requirements: Livestock records should include animal ID, birthdate, breed, record number, and references to pens. Health tracking should document veterinary visits, symptoms, and treatment plans, with tracking codes, health data, and references to animals. The vaccination schedule should set reminders, record vaccination dates, and manage vaccination history, with schedule ID, schedule details, and references to animals. The system should facilitate comprehensive livestock record keeping, health tracking, and vaccination scheduling to support effective livestock management.","Records, Tracking, Schedule","Records [ID, Birthdate, Breed, Number, Pen], Tracking [Visits, Symptoms, Plans, Code, data], Schedule [Reminders, Dates, History, ID, Details]","Records and Pen, Tracking and Animals, Schedule and Animals"
"In an effort to increase the efficiency and management of parking facilities, a parking lot operator requires a sophisticated parking lot management system. This system will facilitate the monitoring of available parking spaces, manage vehicle entries and exits, and generate comprehensive parking reports, thereby improving operational efficiency and customer satisfaction. The system requirements are presented as follows: Parking space should have space ID, indicate availability status, timestamp, and space description. Each vehicle entry should log vehicles entering the parking lot, with entry ID, time, and entry details. While, vehicle exit should record vehicles leaving the parking lot, with exit ID, timestamp, and exit details. Report is an important aspect of the system, which should create parking report with report number, occupancy summary, and revenue statistics. The system should support parking space monitoring, vehicle entry and exit management, and parking report generation for efficient parking lot operations.","Space, Entry, Exit, Report","Space [ID, Status, Timestamp, Description], Entry [ID, Time, Details], Exit [ID, Timestamp, Details], Report [Number, Summary, Statistics]","Space and Entry, Space and Exit, Report and Space, Report and Entry, Report and Exit"
"To promote sustainable agriculture and enhance farm productivity, an agricultural cooperative requires a comprehensive database system. This system will efficiently manage crop data, monitor soil health, and track sustainable farming practices, ensuring effective resource use and supporting eco-friendly farming methods. Thus, the system should encompass various aspects, with the following requirements: Crop data should include crop ID, crop type, planting date, harvest yield, crop variety, and source. Soil health monitoring should analyse soil composition, nutrient levels, and irrigation schedules, along with field and soil health metrics. Sustainability practices should be tracked with a practice code, documenting eco-friendly farming methods, organic certification, pesticide usage, practice fields, and practice records. The system should facilitate crop data management, soil health monitoring, and sustainability practice tracking to support sustainable agricultural practices.","Crop, Monitoring, Practices","Crop [ID, Type, Date, Yield, Variety, Source], Monitoring [Composition, Nutrients, Irrigation, Field, Metrics], Practices [Code, Method, Certification, Pesticides, Field, Record]","Crop and Monitoring, Practices and Crop, Practices and Monitoring"
"A nonprofit organization requires a database system to manage donor information, fundraising campaigns, and impact assessment. The system requirements are described as follows: Each donor has a profile which should store donor number, name, email, phone, address, and donation history. Donors usually make donations towards a campaign. Each fundraising campaign should plan and track fundraising efforts, with campaign ID, date, and campaign results. For every campaign, the system should keep tract of impact metrics, which should measure the organization's social, environmental, and financial impact. Each impact metrics should be identified with impact ID, type, time, and impact data. The system should support donor profile management, fundraising campaign tracking, and impact assessment for nonprofit operations.","Donor, Campaign, Metrics","Donor [Number, Name, Email, Phone, Address, History], Campaign [ID, Date, Results], Metrics [ID, Type, Time, Data]","Donor and Campaign, Campaign and Metrics"
"An organisation that preserves historical archives needs an effective database management system in order to handle and preserve important historical records without compromise. This system will facilitate the cataloguing of historical documents, manage preservation activities, and support research access, thereby preserving historical records and enhancing scholarly research. The system should include various aspects, including document cataloguing, preservation records, and research requests. Each document catalogue should store details such as catalogue number, provenance, digital scan, document description, and references to the donor. Preservation records should include a preservation code, track preservation activities, conservation efforts, restoration projects, and preservation logs. Research requests should record request number, handle access requests, research inquiries, document loans, request descriptions, and references to the researcher. The system should support document cataloguing, preservation records management, and research request processing to maintain and utilize historical archives effectively.","Catalogue, Record, Requests","Catalogue [Number, Provenance, Scan, Description], Record [Code, Activity, Conservation, Projects, Logs], Requests [Number, Access, Inquiry, Loan, Description]","Catalogue and Record, Record and Requests, Requests and Researcher"
Employee are assigned to multiple projects. Each project has a project ID and title. Employee can be temporary employees or permanent employees.,"Employee, Project","Employee [Type], Project [ID, Title]",Employee and Project
"The TCS shall have the functionality to allow the operator to generate a UAV mission plan. The TCS shall have the functionality to receive and process UAV mission plans from service-specific mission planning systems. The TCS Mission plan shall include all necessary information required to be interoperable with the service-specific mission planning systems, including the Tactical Aircraft Mission Planning System (TAMPS), Aviation Mission Planning System (AMPS), and Air Force Mission Support System (AFMSS). The TCS shall have the functionality to transmit UAV mission plans to service-specific mission planning systems. The TCS shall facilitate the automated processing of mission plan data received via CI interfaces to extract the appropriate mission planning data. The TCS shall have the functionality to receive and process UAV mission plans from other TCSs. The TCS shall have the functionality to transmit UAV mission plans to other TCSs.  A Mission Plan shall include a Flight Route Plan for a selected AV, a Payload Plan for the selected payload, and a communications Plan. The TCS shall be capable of storing a minimum of mission plans under unique names to allow for later retrieval. The TCS mission planning function shall provide a graphical user interface (GUI) that allows the operator to define waypoints on a map-based display using a pointing device with full keyset redundancy. The TCS shall provide the capability to compute the range and bearing between two geographic positions on the map display. As an objective, the TCS shall be able to import, create, and modify map display overlays for fire support coordination, airspace control, and threat identification measures. Upon completion of radar cross-section analysis and characterization by the Government for each UAV type, TCS shall utilize a UAV signature versus threat lookup table (database) that identifies the lethality of the threat to the UAV and shall provide the capability of displaying aircraft signature versus threat, before and during flight. The TCS shall permit dynamic mission and payload retasking during all phases of operational mission execution. The TCS shall allow the operator to enter and review mission plan parameters, including AV flight parameters, payload control parameters, data link control parameters, AV VCR control parameters (if applicable to the selected AV), and AV loiter patterns. The TCS shall provide the capability to enter system configuration characteristics in the mission plan, including selected AV type, AV identification number, selected payload type, ground control authorization information, required communications pre-set for data links, tactical communications, and CI data dissemination. The TCS shall provide the system functionality necessary to upload a flight route plan and payload plan (if applicable) to the AV via the selected system data link and direct ground connection. TCS shall provide the capability for the operator to retrieve a mission plan for viewing, modification, and deletion at the operator's discretion and allow the operator to save the mission plan under a different name for future retrieval. The TCS shall automatically check the validity of the intended mission plan before being uploaded, including altitude constraints, payload constraints, data link range constraints, airspace restrictions, fuel limitations, threat constraints, data link terrain masking effects, and Loss of Link (LOL) Plan. The TCS shall notify the operator of all discrepancies found during the mission plan check and indicate successful completion of the mission plan check. The TCS shall provide the capability to override validation faults after the operator acknowledges the fault. The TCS shall allow the operator to set the LOL delay timer(s) during mission planning. The LOL delay is when the AV detects an unplanned LOL to the time it initiates LOL procedures. The TCS shall provide the capability to print waypoint data in alphanumeric format.","TCS, MissionPlan, FlightRoutePlan, PayloadPlan, CommunicationsPlan, ThreatLookupTable, Operator","TCS [name, storedMissionPlans, GUI], MissionPlan [flightRoutePlan, payloadPlan, communicationsPlan, name, validity, parameters], FlightRoutePlan [waypoints, altitudeConstraints, dataLinkRangeConstraints, airspaceRestrictions, fuelLimitations, threatConstraints, MaskingEffects], PayloadPlan [payloadType, controlParameters], CommunicationsPlan [dataLinks, tacticalCommunications, CIData, LOLPlan, LOLDelayTimer], ThreatLookupTable [UAVSignature, threatLevel, lethality], Operator [username, authorizationLevel]","TCS and MissionPlan, MissionPlan and TCS, TCS and FlightRoutePlan, TCS and CommunicationsPlan, TCS and ThreatLookupTable, Operator and GUI"
"The following sections describe the operational concepts of the FSW, including its functions, interfaces, performance characteristics, error detection, reporting and recovery mechanisms, and ground systems concepts. The FSW has the following primary functions: Process science data from the camera and relay it to the Spacecraft Control Unit (SCU) in the form of CCSDS Source Packets. Receive commands from the SCU that establish the current instrument state and camera mode. Transmit detailed housekeeping data to the SCU in the form of CCSDS Source Packets. Receive a time message from the SCU and synchronize the XCP local copy of the spacecraft clock. Control the heaters on the telescope tube and the thermal baffles. Read the TAM. The XRT supports three different but very similar observation sequences. The three observation types are: Automatic, Preplanned, Target of Opportunity. The sequence starts when a SISCATTITUDE message is received with the IS_SETTLED indication set to false. The message also indicates IS_IN_10_ARCMIN, which is true when the S/C is within ten arc minutes of the target position. When the distance remaining to slew is greater than ten arc minutes, the S/C begins the first of up to three activities that precede an observation. Each activity is initiated when the distance remaining is greater than ten arc minutes, and the previous activity is complete. The pre-observation activities are: Calculate row bias map, Calculate image bias map, Collect raw data image.","FSW, Camera, SCU, CCSDS, XCP, Heater, TAM, XRT, SISCATTITUDE, PreObservationActivity","FSW [primaryFunctions], Camera [scienceData, mode], SCU [commands, timeMessage, state], CCSDS [data], XCP [localClock], Heater [status, temperature], TAM [alignmentData], XRT [observationType], SISCATTITUDE [IS_SETTLED, IS_IN_10_ARCMIN, distanceRemaining], PreObservationActivity [activityName, status]","FSW and CCSDS, FSW and SCU, FSW and XCP, FSW and Heater, FSW and TAM, SISCATTITUDE and PreObservationActivity"
"A company with a name has two roles: Employee and Manager. The manager is a special employee. Each employee object contains information about the department, name, date of birth, and social insurance number. A company has more than one employee. These employees are included in the categories of workers, salespeople, and managers. In addition, while workers have information such as weekly working hours and hourly rates, the salespersons have information such as fixed salary, number of sales made, and commission percentage. The managers only get a fixed salary. Workers are separated as shift workers and non-shift workers. Off-shift workers have weekend and official holiday permits. Shift workers receive premiums for working on holidays. The company has production, control, and delivery departments. Each department has to be controlled by a manager. Shift workers can only work in the delivery department. In addition to the above basic information, the manager object also has position information. There is also Retirement Control which checks whether the retirement age is reached. The company stipulates that the retirement age of employees is 60 years old, and the retirement age of managers is 65 years old.","Company, Department, Employee, Manager, Worker, ShiftWorker, NonShiftWorker, Salesperson, Retirement","Company [name], Department [name], Employee [name, dateOfBirth, InsuranceNumber, department], Manager [position, fixedSalary], Worker [weeklyWorkingHours, hourlyRate], ShiftWorker [holidayPremium], NonShiftWorker [weekendPermits, HolidayPermits], Salesperson [fixedSalary, numberOfSales, commission], Retirement [retirementAge]","Company and Employee, Department and Manager, Worker and Department, Employee and Retirement, Manager and Employee, Worker and Employee, Salesperson and Employee"
"The library management system is software designed to manage all the functions of a library. There is a library officer who will manage the membership processes has an employee ID. A library issues loan items to members. Each member has a membership card that shows a unique member number and issue date. Along with the membership number, other details on a member must be kept, such as a name, address, and date of birth. A bar code uniquely identifies a loan item. There are two types of loan items, language tapes, and books. A language tape has a title language (e.g., French) and level (e.g., beginner). A book has a title, author(s), edition, and ISBN. An item can be borrowed, reserved, or renewed to extend a current loan. A member can reserve a loan item not available at the library. When a book or language tape is returned to the library, the member who made the reservation will be notified stating the reservation date. Reservations will be cancelled upon borrowing by the member or upon the member's request. The application will allow updating the list of loan items, member registration, lending transactions, and reservations with transaction date, due date and return date.","Library, Officer, Member, MembershipCard, LoanItem, Book, Tape, Reservation, Transaction","Officer [ID], Member [Number, name, address, dateOfBirth, Card], MembershipCard [cardNumber, issueDate], LoanItem [barCode, status], Book [title, author, edition, ISBN], Tape [title, language, level], Reservation [Date], Transaction [transactionDate, dueDate, returnDate]","Officer and Member, Library and LoanItem, Member and MembershipCard, LoanItem and Member, Reservation and LoanItem, Reservation and Member, Transaction and LoanItem, Reservation and Member"
"The goal of this project is to implement an Internet-based, who-done-it-style game called Galaxy Sleuth. The game is Internet-based in that players can play each other from remote sites on the Internet. The game is an intergalactic murder mystery, which emulates a board game scenario in which players spin a wheel to determine a randomly selected number of moves by which they travel through space to various planets. The game's objective is to gather clues while travelling about the universe. Each game has an ID, and number of players. Each player has a player ID, name, current position and receives information concerning the murder, and no players receive the same information. As the players travel through the universe, they are permitted to ask questions about what information their fellow players possess. The questions form a hypothesis for the murder circumstance and perpetrator, which the remaining players are invited to disprove with their evidence. The murder hypothesis is communicated to all players. If a player can disprove the hypothesis, that information is communicated only to the inquiring player. Other players are informed that the hypothesis was refuted but need to be shown the piece of evidence that refuted the hypothesis. If the hypothesis cannot be denied, all players are informed of that fact. After gathering a certain set of clues and applying deductive reasoning, players may deduce the perpetrator and circumstance of the murder. The first player to accomplish this wins the game. If a player draws an incorrect conclusion, they lose the game.  Moving and Landing on Planets: To visit a planet, a player must enter the planet's atmosphere at one of the predefined entry points. Each planet has between one and three predefined atmospheric entry points. These entry points are graphically depicted on the game as a diagonal line off a square on the board leading into a planet's atmosphere. A player visits a planet by making legal moves on the board until a cell adjacent to an atmosphere entry point is reached. Each cell had an ID that uniquely identifies it. It costs the player a single move to enter the atmosphere from the adjacent cell. The player is considered to be on the planet as soon as the planet's atmosphere has been entered. The player can enter the planet's atmosphere in a different number of moves. A player whose token resides on one of four planets having wormhole connections to other planets may choose not to spin the spinner and take the wormhole directly to the other planet. The planets, Linuta and Verlute, have a wormhole connecting each other, as do Earth and Evilon. A player may not re-visit the same planet on a single turn. A legal move consists of a player moving their token, the number of moves determined by the spinner, either horizontally or vertically, but not diagonally. The player may change directions multiple times but cannot enter the same cell twice during a single turn. Also, a player may not move into a cell occupied by another player's token. Winning the Game: A player wins the game by announcing their murder hypothesis, consisting of a planet, a perpetrator, and a murder weapon at any time during their turn, and having the server determine that the hypothesis is correct.  The solution is then broadcast to all players. If an announced hypothesis is incorrect, the player loses the game and cannot pose hypotheses any longer or make moves on the board but must continue refuting the hypotheses of other players. When the correct hypothesis is announced, all players are informed of the circumstances of the murder.","Game, Player, Board, Cell, Planet, Hypothesis, Clue, Spinner, Server","Game [ID, players, turn, board], Player [ID, name, position, information], Board [cells, planets], Cell [ID, position], Planet [name, points, connections], Hypothesis [planet, perpetrator, weapon], Clue [description]","Game and multiple Player, Player and Clue, Player and Board, Board and Cell, Cell and Player, Hypothesis and Player, Player and Server, Spinner and Player"
"There is a need for an application that will create an Academic Program to be used in the Software Engineering Department. The program will be identified by the program number and name. There are many courses in the Academic Program. A course has the course name, the course code, the start time, the end time, the days of the courses, the class, and the instructors. The classroom has class id, capacity, floor, and block information. The instructor has a name, surname, title, and specialty. Instructors lecture and mentor the students depending on their specialties. In addition, instructors can increase and decrease the course quota limit and change weekly course hours and course days. Also, they can add or drop courses from their list depending on attendance. Students have student number, name, major and enroll in the courses, drop the courses, receive transcripts, request documents, and conduct surveys.","Program, Course, Classroom, Instructor, Student, Time","Program [programName, programCode, courses], Course [courseName, courseCode, startTime, endTime, days, class, instructors, students, quota], Classroom [ID, capacity, floor, block], Instructor [name, surname, title, specialty, coursesTaught], Student [Number, name, major, courses], Time [hour, minute]","Program and Course, Course and Classroom, Instructor and Course, Instructor and Student, Student and Course, Instructor and Course"
"The processes we want to describe are recording the product on the shelf, the customer collecting products, and payment after choosing items. In this part, we have two types of customers: Normal and Extra-customer. Before purchasing products from different continents, the supermarket organizes them according to their type and group. Each product is recorded with features such as a unique Product ID, Name, Type (e.g., Alimentation, Pastry/Bakery, Butcher), Expiry Date, Price, and Storage Location (e.g., Shelf, Cold Chamber, Freezer). The supermarket uses a physical inventory system where every product purchased is recorded on a stock form. When the chief of the store wants to check the number of products in the store, they take all forms for each product and count the products to verify if the number written on the form matches the actual number of products stored. After purchasing a new product or receiving it from a supplier, those products are recorded in stock with the quantity. For selling, a product is placed on shelf based on the type and storage location requirements. Products like cheese and meat may be stored in the cold chamber or freezer before being placed on the shelf. The expiration dates of these products are checked. When customers enter the supermarket, they may see products in different groups. Each customer is identified by customer ID, name and type. Employees can help orient customers by showing where products are placed. After choosing and selecting products, customers use a basket for storing goods. They check the price, expiration date, and ingredients of the products before proceeding to the cashier. At checkout, products are scanned by the cashier using each product's Product ID and Quantity. Payment can be made either in cash, where the customer presents cash to the cashier, or by card, where the customer presents a bank card for payment. The cashier processes the payment and provides an invoice if needed. The delivery process begins when the customer first interacts with the service organisation and ends when the delivery is completed, and the customer exits the process. Each order is recorded with order ID, products, quantity and status. After receiving an order from the chief of order, the bakery and pastry agents prepare the goods and package them according to the product category. The chief of order then verifies the order against the proforma invoice to ensure accuracy. Controllers check the delivery for any discrepancies or theft. Each delivery information contains delivery ID, order and status of the delivery. After the delivery, the proforma invoice’s stump and original are transferred to the office of the general director.","Product, Stock, Customer, Basket, Cashier, Payment, Order, Delivery, Proforma, Chief, Controller, Director","Product [ID, Name, Type, ExpiryDate, Price, Location], Stock [Quantity], Customer [ID, Name, Type], Basket [Quantities], Payment [ID, Type, Amount, Invoice], Order [ID, Product, Quantities, Status], Delivery [ID, Order, Status]","Product and Stock, Customer and Basket, Basket and Product, Cashier and Payment, Payment and Customer, Order and Product, Delivery and Order, Proforma and Order, Controller and Order, Director and Proforma"
"The total price of the reservation depends on the time of year and the type of room. There are three types of rooms in the hotel. There are 100 odd numbered rooms which types are standard, and six even numbered rooms which are large-deluxe. The types of remaining rooms are Deluxe. Each room is identified by a room number, and has room type, price per night, maximum number of occupants, and status indicating whether the room is reserved or not. The price of standard rooms: $60 for the summer season, $40 for the spring season, and $25 for the autumn season per night per person. The room takes up to 4 people. The price is calculated according to the number of people entering the room. Rates for the deluxe room: $90 per person per night in the summer, $75 in the spring, and $ 50 in the autumn. The room takes up to 4 people. The price is calculated according to the number of people entering the room. While calculating the price for Large Deluxe rooms, the number of people is not considered. It is $400 daily in the summer, $300 in the spring, and $250 in the autumn. There can be a maximum of 7 people in this room. The customer must be registered for the first time to the system. The system keeps track of customer ID, name, and address. Customer must enter for pre-payment, 'H' for payment with a wire transfer, and 'S' for a standard reservation. A 15% discount will be applied on the price calculated when pre-paid reservation is selected. When payment using a wire transfer is selected, if the number of guests exceeds three persons, 50% of 1 guest's fee and 75% of 1 guest's fee will be deducted from the calculated amount. In standard reservations, customers make payments at the end of the accommodation. If all the rooms are reserved before, the user will be asked to make a choice again. If the user wishes to make another reservation transaction, the loop must start, and all transactions must be repeated. Details about the reservation are also recorded which include a reservation number, room number, number of guests, type of reservation, amount paid, and season.","Hotel, Room, Customer, Reservation","Hotel [TotalRooms], Room [Number, Type, Price, Occupants, status], Customer [ID, name, address], Reservation [Number, room, guests, type, amount, season]","Hotel and Room, Room and Reservation, Customer and Reservation"
"The user selects the movie show for which he would like to book tickets. This he does by clicking on the relevant film or the desired date. Depending on the selection, a list of movie shows for the selected film or movie shows of the chosen day is displayed. Then he clicks on the movie show for which he would like to order tickets. If there are any of the 30 orderable tickets left, he is prompted to enter his name, his e-mail address, phone number and the desired number of cards. He can also specify whether he wants to be reminded of the movie show by e-mail. After a click on the order, the system attempts to allocate the desired cards. If this is possible, a confirmation page is displayed on which all the provided information is summarized again. If the tickets for this movie show cannot be reserved, there will be an error message, and the user will be prompted to reduce the number of cards or select a different idea. Each movie has film title, genre, date, time, and available tickets.","User, Movie, Ticket, Order","User [Name, E-mail, Phone, Reminder], Movie [Title, Genre, Date, Time, status], Ticket [Status], Order [Tickets, Status]","User and Order, Order and Movie, Order and Ticket, Movie and Ticket, User and Ticket"
"The musical store receives tape requests from customers. The musical store receives new tapes from the Main office. The musical store sends overdue notices to customers. Each customer has a profile with the store which includes customer ID, name, address and rental history. The store assistant takes care of tape requests. The store assistant updates the rental list. Store management submits the price changes. Store management submits new tapes. Each tape in the store has tape number, title, rental price and availability status. Store administration produces rental reports. The main office sends overdue notices for tapes. The customer requested a videotape. The store assistant checks the availability of the requested tape. The store assistant searches for the available tape. The store assistant searches for the rental price of available tape. The store assistant checks the status of the tape to be returned by the customer. Customers can borrow if there is no delay with the return of other tapes. The store assistant records rentals by updating the rental list. The store assistant asks the customer for his address.","Customer, Tape, Assistant, Management, Office, Report","Customer [ID, Name, Address, History], Tape [Number, Title, Price, Status], Report [Data, Date]","Customer and Tape, Assistant and Tape, Assistant and Customer, Management and Tape, Management and Report, Office and Store, Assistant and Report"
"A flight reservation system is a commonly used system. Typically, a customer places an order for seats in a combination of connected flights from an origin to a destination airport. The customer and the system need to check flight connections' feasibility and schedule. The list of requirements for the reservation system is given below. Flight is defined by a number and a date and defines a route from an origin airport to a destination airport. A plane is assigned to a flight containing a set of numbered seats. Customers make reservations for specific seats on specific flights and have tickets. Each customer has an ID, title, name, and address. A route is followed by a flight from its origin airport to its destination airport. The information boards in the airports show short information about the flights, as FB073 flight departed at 08:45. A route includes one or more spans. A span is a part of a route from a start airport to a termination airport as part of a specific flight. The start (or termination) airport is called this span's origin (or destination) airport. For each flight, there are several connecting flights (different flights that leave from an intermediate stop close after their arrival). Stops are not indicated in the ticket unless the flight number changes, which indicates a plane change. An airline is any direct flight between two airports. All airlines are spans of some flights. A basic airline has no stops. A route is a set of connected basic airlines connecting all the airports through which it passes. For the convenience of customers, we may keep information on relevant facilities; for origins, we keep aspects such as parking; for destinations, we list hotels near the airport; for intermediate stops, we provide lists of hotels close to the airport, restaurants, etc. This information may also include details of the cities nearby.","Customer, Flight, Plane, Seat, Route, Span, Airline, Airport, Facility, Ticket, Board","Customer [ID, Title, Name, Address], Flight [Number, Date, Route, PlaneAssigned], Plane [Model, Seats], Seat [Number, Availability, Class], Route [Origin, Destination, Spans], Span [StartAirport, TerminationAirport, Number], Airline [Number, Origin, Destination], Airport [Name, Location], Facility [Type, Location], Ticket [ID, Customer, Flight, SeatNumber, Status], Board [Flights, Departure, Status]","Customer and Flight, Flight and Plane, Flight and Seat, Flight and Route, Route and Span, Span and Airline, Airport and Facility, Ticket and Customer, Board and Flight"
"This project aims to design new software that enables bank customers to open savings accounts. The project will include the savings account opening process on online banking systems such as mobile and web platforms. There will be two separate applications for the mobile platforms, which are Android and iOS. They should have the same function and features for the account creation process. The account opening process should be named ""Savings Account Opening,"" and it should be under the menu ""Accounts."" On the Accounts menu, the ""Savings Account Opening"" tab should be added to the end of the page. Customer types can be either retail or corporate. The very first savings account of any customer must be in EUR currency. After that, the user has the option of 3 other currencies: USD, GBP, and TRY. The maximum number of savings accounts is limited to 10. Customers can have only one account per currency, except EUR. Customers can have more than one account in EUR currency. The customer should invest at least 2000 EUR or an equivalent amount when opening a savings account. The system should only accept numerical inputs. If the customer enters non-numeric characters (such as letters or special characters) system should not allow the information. After the customer completes the account creation, the system should take two different actions. Firstly, the system should display a message if the account creation is successful. The system should not perform the account opening if there is any error. The system should display an error message. Secondly, if account creation is successful, the system should send an e-mail to the customer's registered e-mail address, informing the account is opened and ready to use. On the e-mail, content should contain the customer’s name, surname, created account number, amount of the transaction, and currency of the account. While communicating the banking systems, the money transfer process and account creation should be fully encrypted. Data integration (in terms of money amount, account numbering, etc.) must be guaranteed. The system should detect any proxy coming into the way and protect the customer from the man in the middle attacks.","Customer, Account, Transaction, Currency, Platform, Security","Customer [Name, Surname, Email, Type, AccountNumber, Amount, Currency Accounts], Savings Account [Number, Currency, Balance, Date], Transaction [Number, Amount, Currency, Date, Status], Currency [Code], Platform [Type]","Customer and Account, Account and Transaction, Currency and Account, Platform and Account, Security and Platform, Customer and Security"
"This study aims to design new software that allows bank customers to apply for IPOs. (Initial Public Offering). Finishing this project will enable purchasing company shares via online banking applications. The study will include the IPO Application process on online banking systems such as mobile and web platforms. There will be two separate applications for the mobile platforms, which are Android and iOS. They should have the same function and features for the account creation process. The IPO application process should be named ""Apply for IPO,"" and it should be under the menu ""Investments."" On the Investments menu, the ""IPO Application"" tab should be added to the end of the page. Only ""retail"" types of customers can apply for IPO. Retail customers should be eligible for applying IPO. If the user has unpaid credit card payments, a blocked account, or is marked as a ""fraud user,"" the user should not be able to perform an IPO application. Customers who will make IPO Applications must share their name, surname, email address, and telephone number information with the related company. The user interface should include an information pop-up that says this information (name, surname, email address, telephone) will be shared and can be used by the company. When a user applies IPO, he is required to upload legal allowance documentation. Documentation could either be in the "".docx"" or "".pdf"" format. Any other formats are restricted. A validation error should be displayed if a user tries to upload another type of document. When the user completes the application process successfully, the bank should send two information emails, one for the customer and another for the company. If the user has more than five failed attempts, the bank should restrict the user from the application process. The user should not be able to attempt the 6th IPO application. If they would like to apply anyway, they should call the ""call centre"" and request IPO application access. Even though the user completed the process successfully, the purchase is still being determined. Related companies always have a right to reject users' applications. If a company rejects the user, our system should inform the customer. Email should be user-friendly and ""In HTML"" format for future compatibility. Email content should include below information: User's name, surname, email address, telephone number, applied company named, number of shares that have been purchased, and the amount of money that has been paid.","Customer, Application, Company, Platform, Documentation, Security","Customer [Name, Surname, Email, Telephone, Type, Eligibility], Company [Name, Email, Terms], Platform [Type]","Customer and Application, Application and Company, Customer and Documentation, Security and Customer, Application and Documentation, Company and Customer, Security and Platform"
"This study aims to design new software that allows bank customers to set PIN codes for their cards. By finishing this project, customers can set their PIN code without needing to go to a kiosk or a branch. Bearing in mind that each customer has a profile that comprises customer ID, name, email, and registered cards. The study will include the ""Set PIN"" process on mobile systems. There will be two separate applications for the mobile platforms, which are Android and iOS. They should have the same function and features for the account creation process. The project will also contain the back-end communication system for the kiosk and branches. The ""Set PIN"" process should be under the ""Cards"" menu. It should be added after the ""My Cards"" page. Each user can have four different types of cards. Card types are debit, credit, virtual and supplementary. Before using any card, the user should set a ""PIN"" using online banking systems. When setting a PIN, the user should enter their card number and CVV information. Both card number and CVV information should be an integer. The system should not accept any other type of input. If the user enters any other type and continues, the system should display an error message, and the process should not continue. If the user enters the wrong card number for the third time, the system should display a pop-up saying that the user entered the wrong card number for the third time and will be logged out. After the message displays, the system should cancel the ""PIN setting"" process, and the user should be logged out of the application. The system should have a parameter on the database that stores whether the user has a pin. After the user enters the card number and the CVV information, the system should perform the check. If the user already has a PIN, the system should display a pop-up saying that the user already has the PIN code. If the user has no PIN code, the system should display the ""Set PIN"" flow, the first step. When a user completes the ""Set PIN"" process, the database's related parameter value should be true. After the user sets the PIN, if desired, the user should be able to reset and change the PIN. After the user successfully sets their PIN code, they should be able to use it immediately on the kiosk or any transaction requiring a pin. PIN code should never be stored anywhere on the application. It should be directly sent to banking systems via an encrypted tunnel.","Customer, Card, Setup, Platform, Security, Database","Customer [ID, Name, Email, Cards], Card [Number, CVV, Type], Platform [Type]","Customer and Card, Card and Setup, Customer and Setup, Platform and Setup, Security and Setup, Setup and Database, Database and Security"
